,0
0,난 지금 한국남녀가 왜 싸우는지 알겠음 
1,스압주의)어릴때 고딩때 현재 61키로 
2,남자도 여자한테 말 실수하고...(1) 
3, 여성분들 매달 꾸밈비 얼마나...(3) 
4,야 이 단어 갑자기생각안나는...(6) 
5,휴가끝났다.....(1) 
6,문쟁니 솔직히 최순실 보다 일 못해 
7,너무 외롭고 힘든데 실제친구하실분있나요? 
8, 제가 문제인가요....(1) 
9,재력 대물림되는거 너무부럽다 
10, 남들이 돈 얼마나벌고 얼마나 쓰는지... 
11,막말이 심한 엄마와 매일 싸...(3) 
12, 누굴 좋아해본게 처음인데 
13,지방대 로스쿨 가기 힘든가요?? 
14,요즘은 프리허그 하는 사람 없겠지(1) 
15, 이 관계를 이어나가야 하나 
16,대충 1020 망했다는 얘기 .. 
17,쌍수 할까 말까ㅠ 
18,사촌동생들이 애들인데 ㅜㅜ(1) 
19,나같은호9는없다..또있는사람?(1) 
20, 일상 보고서 애인 유무 알 수 있어? 
21,술마시고 나서 
22,남친엄마랑 밥먹다 울었음 ㅠㅠ(3) 
23, 알바 나가는 당일에 취소되는거(2) 
24,"간호학과,간호사잡음 ㅈㄴ많은데(2) "
25, 오 실시간 랭킹에 이낙연글 
26,전신거울 이 숫자는 뭐야?(1) 
27,띠동갑 연애 어떻게 생각해 ?(6) 
28,노총각  면하려면  아반떼면  충분하다 
29,연상녀 왜사귐? 
30,노총각 면하려면 무조건 벤츠...(6) 
31, 누나의 가짜기억 때문에 짜증나요 
32, 어릴적부터 나를 힘들게 했던...(2) 
33, 국민들에게 충격이었던 재난재...(328) 
34,너무외롭고힘든데 실제친구하실...(1) 
35,내 코 백만불짜리코 ㅇㅈ ?(18) 
36, 친했다가 멀어진 친구들이 단...(1) 
37,손절해야 되는 친구(4) 
38,[ㅋㅋㅋㅋㅋ] 할때 좋은척하기 이제 ㅈㄴ 귀찮음(2) 
39,우리가 욕 해야할 민족은 인...(2) 
40,미드는 울궈먹기 안하나 
41, 안녕하세요 고1입니다 ㅠㅠ(3) 
42, 근데 동남아애들 왤캐 한국인...(3) 
43,너무 외롭고 힘든데 실제친구하실분있나요? 
44, 도수치료 받는데 설레는데 
45,이제 스무살인데 루이까또즈 ...(2) 
46,하 알바 2시간도 안돼서 짤렸다(11) 
47, 3등급 간호학과 ㅆㄱㄴ??(3) 
48," 20살 대학생, 살아갈 자신...(2) "
49,연애하는데 궁극적인 이유는 ...(3) 
50,제발 도와주세요 ㅜㅜ(1) 
51, 알바갈때 명품백 
52,친구와 의절
53,흔히말하는 지잡대'나오면 어...(1)
54,아이폰 셀카 어플
55, 20대 첫남자로 어떤분이 좋을까요(7)
56, 아이폰 플로 결제해지 어케하냐..
57, 내가 열심히 살아가야 하는 이유
58,  반곱슬 진짜 괴롭고 스트레스...(80)
59, 치대다니시는분 !
60, 인생에서 가장 잘한 선택 썰 풀자
61,전남친 어떻게 잊어?(2)
62, 20살 자퇴했습니다!(2)
63,너무 외롭고 힘든데 실제친구하실분있나요?
64,사랑이 아닌 것.(1)
65, 이런 애 특징이 뭐야?(2)
66,요즘 상영영화 재미있게 본 거 있어?
67,출산과 페미니즘
68,안녕하세요 27살 남자 고민있어요(2)
69,19) 남자분들 취향(2)
70,좋은 여자 특징에 대해서 알려준다
71, 얘들아 여자로 살기 진짜 힘들지 않냐?
72,친구에서 연인으로 가는 경우도 있죠?
73, 골반 큰거야??(6)
74, 꼭 한번만 봐주세요ㅠㅠ..
75, 알바몬에서 일자리찾다가 소름
76,우리 서로 퍼스널톤궁예 해주자
77, 알바 중 손님에게 욕설과 인격모독을...
78, 술집에서 이남자 어때보임(2)
79,너무 외롭고 고독한데 실제친구하실분...
80,솔직히 남자 잘생긴거는 대다...(1)
81,부모님과 입장차이 생기면 어떻게 풀어요?
82,  애들아 이게 고등학생이 입으...(22)
83,쌍수 왜하는거야?
84,ㅈ소기업은 호봉도 안오름?(2)
85,너무 외롭고힘든데 아무나친구하실분있나요?
86,제가 속물인건가요?(7)
87, 요새 너무 허무해요(2)
88, 디자인과 있어??(1)
89, 자취하는데 소름돋는 일있었어(12)
90,알바 짤렸어요(6)
91,그리운 싸이월드...(1)
92,-10라식가능??(3)
93,"이제 곧 가을이야,?(2)"
94,카페 진상 갑은
95, [다이어트] 165cm 69.1kg 나 ...(63)
96,(연애상담)여성분들 한 번만...(1)
97,저 닮았단 연예인(1)
98,노트 20 힘들게 찾았는데 이거 어떠냐
99, 여적여로 보는 한국여자들의 특징(12)
100, 알바하는데 남자친구 물어보면(1)
101,[ㅇㄱㄹㅇ] 도서관 진상 줌마(1)
102, 빚 6500만원 20대 후반...(4)
103,남자가 잘생겼다는 남자=여자가 보면...
104,수능 끝나고
105,너무 외롭고 힘든데 실제친구하실분있나요?
106,동물농장 진짜 미친거아님?????????
107,서비스업에서 여자들이 더 여...(6)
108,대학생 개강 언제하나요
109,너무 외롭고 힘든데 실제친구...(1)
110,술 안먹는 친구(2)
111,남친가족과 친하게 지내는거 좋을까?
112,눈이 길지않은 무쌍이하는 핑...(1)
113, 20대 중반 남자한테ㅠㅠ
114,10대 판 난린데 우리도 해보자
115,고딩동생 집안일 아무것도 못하는거 ...
116,너무 외롭고 힘든데 실제친구하실분있나요?
117,20대 남성 차량 추천 좀요...(6)
118, 친구고민 쫌 들어줘
119,베라 아빠는 딸바봉 뭔맛이야
120,교수님이 잘해주시는데(1)
121,질유산균
122, 대학을 꼭 가야할까요?(23)
123,여자 회사원 분들께 진짜 궁...(2)
124, 일반고 인서울 1등급만 ㄱㄴ?(9)
125, 상식이 모자라서 걱정..
126,30살 승화야
127,"대학 공부, 고딩 공부. 뭐...(7)"
128,30살 승화야(1)
129, 인서울대학
130,대학생 친구 선물 가격 이정...(1)
131,너무 외롭고 힘든데 실제친구하실분있나요?
132, 안면비대칭인사람 들어와 해결...(118)
133,근데 yg있잖아
134,너무 외롭고 힘든데 실제친구하실분있나요?
135,  남친 진도에 못맞추겠어요(17)
136, 20살 미래(5)
137,야 대면 강의 하면 어떻게 ...(4)
138,너무 외롭고 힘든데 실제친구하실분있나요?
139,친구 전남친
140, 술집에서 이남자 어때보임(4)
141, 남사친들이 자꾸 날 좋아해(46)
142,너무 외롭고 힘든데 실제친구하실분있나요?
143,여자 향수 추천해줘!
144,30대 남자들이 갑이되는 이유.JPG
145, 술집에서 만난 남자가 이렇게 성희롱...
146,20대판 특징 ㅇㅇ(2)
147, 옛날에 술집에서 만난 남자 ...(7)
148,연상아니면 안끌리는 이유
149,치아교정하시는분들
150, 힘들었던 과거가 자꾸 생각나요
151,백화점에서 일하시는분들 답변 좀 부...
152,지금 내 마음 되게 외롭다
153,너무 외롭고 힘든데 실제친구...(1)
154,너무 외롭고힘든데 아무나친구하실분있나요?
155,팝콘튀비 헌팅비제이 행테
156,여자들은 좋겠다
157, 가방브랜드추천좀 ㅠㅠ(1)
158,수능끝나고 살 확 빼본 판녀 있음??
159, 유령수술 살인마 처벌 (꼭꼭 봐주세요)
160, 01 인데 모솔이면 비정상임?(29)
161, 아페씨 에코백 살까요 말까요
162,국민은행 이거 왜이러죠
163,국가장학금 학자금대출
164,엄마랑 연 끊고 싶어
165, 20살 모솔 여기 있니
166, 반수관련 동기부여되는 유튜브 추천좀...
167, 대학생 지갑(2)
168, 못생긴 남자들이 성격 더러움(89)
169,누나들 질문이요 한남에서 벗어난 개...
170,그냥 내가 살아온 이야기.
171, (다들 드루와) 나 고민 생...(4)
172,158에 54키로인데(4)
173, 예전에 SNS에서 유명했던?...(1)
174, 이 귀찌 디자인 어떤가요???(6)
175,너무 외롭고 힘든데 실제친구하실분있...
176, 잘생겼는데 매력 없는 남자는...(2)
177,밥약 예의
178,너무 외롭고힘든데아무나친구하실분있나...
179, 여자의 가슴은 중력이다.(24)
180,전 멧돼지 쿵쾅이들이 싫어요(6)
181,성형한 사람들의 이중성(4)
182,둘 중 누가 더 잘생겼음?(7)
183,저처럼 족보 완전히 꼬인 케이스 있나요?
184,외롭고힘들다고 똑같은 글 쓰...(1)
185, 다이어트 문제점이 뭘까요 ...(3)
186,아는 오빠한테 오빠라고 부른...(2)
187, 밀당은 꼭 필요한 걸까요?
188,너무 외롭고 힘든데 실제친구하실분있나요?
189, 일일운전자보험(1)
190,한국여자는 쉽다
191, 로또 2등 당첨됐다. 7천 받음(22)
192,편의점알바 잘아시는분!(3)
193, !!!얘들아 이 유튜브 들어...(2)
194,동성애자 친구들도(1)
195,팔에 레터링 했는데(1)
196," 조언좀요,,,,"
197,절대로 혼자있거나 혼자 고립...(7)
198,대학교 4학년 24살 반수..고민(14)
199,아무나실ㅈ친구사리분있나여(1)
200,너무 외롭고 힘든데 실제친구...(1)
201,클럽 안가는거 손해야..?(7)
202, 20살인데 돈만 보면 토할 ...(9)
203,아토피있는 남자 별로지?(2)
204,너무 외롭고 힘든데 실제친구...(1)
205, 나만 습기때매 여름에 잠 안옴?(4)
206,너무 외롭고 힘든데 실제친구하실분있나요?
207,  163/66 인데(23)
208, 20대 때 하는 연애는(26)
209,호텔관광학과 직업들 어떻게 생각해..?
210, 자기도 더치페이 하겠다던년이...(1)
211,"백수, 취준생들아 너넨 뭐하...(10)"
212, 경희대 국제캠 어때요?(1)
213, 동생이 이 옷 사겠다는데 추...(15)
214,짝사랑 할때 슬픈때
215,자기 자신을 사랑하기ㅊ
216,현역 페미가 말하는 페미니스트 현실...
217,나는 못난 한남충이라 여자들...(1)
218,난 20살이야
219, 진짜 심각하게 고민있는데 들...(7)
220, 6~8시만 되면 사라지는 남친(5)
221, 강아지를 때린 할머니
222,토할 것 같아
223,너무 외롭고 힘든데 실제친구하실분있나요?
224,너넨 비교될 때 어떻게 함?
225," 외국어,통역쪽이나 미국의사 희망하는..."
226,자취 택배
227,망해가는 1인공방을 살려줄 한 줄기의 빛
228, 학원 알바 지원해서 하고 있...(2)
229, 남자들이 생각하는 가슴사이즈(47)
230,농어촌으로 대학가면 어떤가요?(27)
231,썸남 단답 어떡하냐(1)
232, 오늘자 남자친구한테 감동받은 일화(1)
233, 5등급(1)
234, 키작녀 롱스커트(22)
235,카톡정지당하면 상대방 프로필 친구목...
236,E샵 레이어드 가격(1)
237,벤 콘서트 가면 진지하게 노래만 부...
238,영화 에로틱타잔 아는 사람?
239, 남친한테 담배피는거 들켰어 ..(41)
240, 남자들 10명을 만나면서 겪...(13)
241,담배 ㅊㅊ해주라(2)
242, 며칠 전 엄마와 있던 일입니...(1)
243,알바 하나 하고 왔어요
244,너무 외로고힘든데 실제친구하...(1)
245,나무 외롲고힘들어오 실제친구하실분제발
246,너무 외롭고 힘든데 실제 친구하실분
247, 18살 24살 연애 어떻게 생각해(11)
248,야 로트와일러 전기톱 사건 ...(3)
249, 생일 꽃골라주세용(1)
250, 찌질해보여?(1)
251, 이거 내 잘못만 있어?(3)
252, 남자지갑 골라주세용!(1)
253,서구남성들이 결혼을 기피하기...(1)
254, 안녕 얘드라 그냥 다른사람 ...(2)
255, 선 씨게넘은 젠더교육(3)
256, 남친 생일선물 골라주세여!(3)
257, 피어싱샵 하거나 피어싱 잘알들 ㅠㅠ...
258,스무살인데 저격글 올리는거 ...(11)
259,너무 외롭고 힘든데 실제친구...(1)
260, 나만 애 안낳고싶냐??(24)
261,너무 외롭고 힘든데 실제친구하실분있나요?
262,포스텍이 서울대랑 맞먹는대학이야?(7)
263, 술집에서 이남자 왜그런거임????(1)
264, 안친한 남사친이 과외 가르쳐...(12)
265, 사람 고쳐쓸수 있음? 내 피...(2)
266, 21살인데 친구없어서술한번도...(6)
267, 10월까지만 하고 퇴사해야겠다
268, 이거 성추행인가요(1)
269,너무 외롭고 힘든데 실제친구하실분있나요?
270, 사람 얼굴 볼 때 콧구멍만 보여ㅠㅠ
271,나 조금은 이쁜듯(3)
272,출산율을 올리고 싶으면(2)
273,[추반] 판딸들 이가방 어떰?...
274, 이런타투는 얼마정도해??(2)
275, 남자들아 여자 뻑가게 하는 ...(7)
276,  나 진짜 예쁜데  익명이니까...(42)
277, [19] 나처럼 몸매가 총체적 난국인...(30)
278,롤 하는 분 ㅎ(1)
279,너무 외롭고힘든데 아무나친구하실분있...
280, 혼자 새벽에 술집 갔을때(1)
281,자기 자신을 사랑하기ㅇ
282, 나름 열심히 살아왔다 생각하는데 항...
283," 마스크로 입,코를 가리면 왜...(13)"
284," 데이트 폭력, 음란 동영상 ...(1)"
285,  청순한가요 ?(42)
286,아 오늘 저녁부터 마음 강하게 먹고...
287,사람을 찾습니다.(15)
288,내 인생에서 가장 슬픈 선택
289,화장진한게 어울리지 않은 사...(15)
290,BJ 은유화님에게...
291, 이별통보 할 때 연락 기다려달라고 하는거
292,  결혼을 앞둔 29살 남자인데...(47)
293, 난 늘 2순위였다.(1)
294, 자기가 성숙해졌다는걸 느낄 ...(43)
295, 너네 남친이 카톡 5시간넘게...(2)
296, 금연이 너무 간절한 24살 ...(34)
297,사람 한명 살린답시고 제발 들어와주...
298, 남친 헌포(1)
299, 남자들아 너네 투표해봐(9)
300, 다들 성인 전 친구 몇명 남...(1)
301,병원마감시간 몇분전에 가야한...(3)
302,[조언과댓글] 회사의 정떨어지는 말 때문에 아무것...
303, 술집에서 이남자 왜그런거임(3)
304,나와의 연애를 주변에 밝히지...(6)
305," 오늘 원룸 이사 가는데요, 후라이팬..."
306,나 패션고잔데 오랜만에 한국 들어가...
307,같은과 오빠 설렜던거
308,맞춤법이 참...(1)
309,커플들 여행
310,너무 힘듭니다....ㅜㅜㅜㅜㅜㅜ
311,여기는 취준생 별로없나보네(3)
312, 자주보던거같아서 혹시라도 한번보면 읽어줘
313,남치니가 이벤트 참가하자는데 어떡해?
314, 아르바이트 거리 35분 쯤인...(2)
315, 결혼 꼭 해야되나(45)
316, 너무 심심하고 외롭다
317, 형제랑 일부러 친하게 안지내...(1)
318, 요즘 할만한겜 추천점...
319,로마에서 콜로세움을 세울때 ...(1)
320, 진짜 동물 키울 준비가 안된 인간들...
321,급식일땐 몰랐는데 이노래가 이렇게 ...
322, 23살 남자 결혼합니다.(4)
323,전국범죄도시 순위(3)
324, 충격)산림청 공식트위터가 팔...(4)
325,심심하당
326,혹시 학과 보고 학교 낮춰서...(3)
327, 다방에서 허위 매물이라 하면...(2)
328,교통사고당하니까톡씹고 인스타...(1)
329, 브랜디 앱에서 옷 처음 사는데 옷 사이즈
330, 독서실 알바(2)
331,언제까지 남자에게 휘둘릴껀가요!!?
332,세후 300을 받으려면 얼마...(1)
333, 여자친구가 너무못생겼어요(21)
334, 슬랙스 허리 수선해본사람?(1)
335, 남편핸드폰을 봤는데 오피스와이프 같아요
336,  전 앞으로 어떻게 해야되나요...(87)
337,바 알바 해본 사람(1)
338, 폴스부띠끄 가방 ㄱㅊ?(1)
339,너무 외롭고 힘든데 실제친구...(1)
340,주택청약(3)
341, 제발 필터좀 알려조 살려조 제발(1)
342, 친구 없어서 결혼식 하기 무서움(5)
343,예체능인데 남자 여자 인생이...(24)
344,[꼭봐주세요] 아동 불법 성착취 손정우 판결난거(1)
345,저 이제 17살 인데 공부자...(10)
346,  지병이 있는 여자입니다.(19)
347, 안친한 남사친이 공부 가르쳐...(4)
348,대학생들 공감(1)
349, 여기서 계속 일하는게 맞는걸까요?(57)
350, 아만다 실제로 만나면 위험(2)
351, 남자라서 이득본거 있음?(118)
352, 남친술먹고블랙아웃
353, 자기가 친해지기 힘든 사람 ...(37)
354, 미대는 발표수업 있나염(1)
355,너무 외롭고 힘든데 실제친구하실분있나요?
356, 인생진짜 노답이다 ...ㅋㅋ
357,웹툰 조아하는애들 있니
358,  인생조진 재수생 어떡해야해(53)
359, 재수생 방향좀 잡아줘(1)
360,자기 자신을 사랑하기ㄱ
361, 20살인데 옷 처음 사보는데...(3)
362,대학때 여친사귄 방법
363, 판에 왜케 전문직 많음? ㅋㅋㅋ(67)
364,ㄴ무 외롭고힘든데 안무ㅏ친구...(2)
365, 코수술부자용이야기했더니소송을건병원 ...
366,너무 괴롭고힘든데 아무나친구하실분잇나여
367, 컴퓨터 안경 쓰시는분
368, 룸메이트가 이런 말을 했는데 기분 ...
369,긴머리 자극하게 긴머리 자극...(3)
370,살면서 믿고 거르면 좋은 부...(5)
371, 교대vs의대 작작해라(21)
372,단국대 죽전이랑 한성대중에 ...(3)
373,방탄 뷔 sweet night
374, 이런친구 믿고 거른다 하는거...(3)
375, 요즘 이 광고 귀여움ㅋㅋㅋㅋㅋㅋ
376, 너네 남자 취향이 어떻게돼?(82)
377,미통당 국회의원 집값이 20억!
378, 제발 조언 좀 해줘(1)
379,너무 외롭고힘든데 아무나친구하실분있나요
380,이정도면 부모님 연봉 얼마 ...(6)
381,주변에 기분 안 좋은거 티내는 애들...
382,흑역사 생각만해도 ㅈ팔린다
383,[로션로션] 20여자인데 로션 추천해주세요(1)
384,21살인데 대입준비하는 사람 있냐(3)
385,연락할까 말까?(1)
386,너무 외롭고 힘든데 실제친구...(1)
387, 친구들이랑 호캉스여행갔다가 정 다 털림
388,쉐어하우스 들어가려는데 뭐뭐...(1)
389, 학사경고 받았는데
390, 자신을 성추행한 가족이랑 같...(11)
391,한녀가 뭔 뜻임??(7)
392,힐링노래추천좀 해줭
393,  제가 예민한걸까요?(159)
394,나 타로 7군데 봤는데(1)
395, 파마가 금방 풀림
396, 파마가 금방 풀림
397, 새로운 친구가 커밍아웃함(1)
398,지구종말론에 대하여
399, 범죄자는 아니겠죠???
400,대학생분들 한달 용돈 얼마인가요?(8)
401,당돌한 여자
402, 졸업학점 28인데(1)
403,저 재수할때 있었던일인데 들어봐주세요.
404,이제 스무살인데.. 일반대학...(26)
405,  스무살인데 친구 다 끊는거(50)
406, 혹시 블로그(2)
407, 자존감
408, 뒷담까놓고 인스타에선 친한척하는거
409, 재수강 극혐인점
410,나 원래 학벌 신경안쓰고살았는데(1)
411, 흰색스타킹  별로지 않나 ??(2)
412,나만 스트레스 좀만 받으면 ...(3)
413,되게 웃음코드?잘 잡아내는애...(16)
414,대학에서 패스논패스 잘아는사...(1)
415, 살면서 사고쳐본 사람 있나(11)
416, 길거리 캐스팅 당함(3)
417, 알바 그만두려고 하는데
418, 99년생인사람(6)
419,염색 망한거 어떡할까
420,[습관] 게으른 사람들을 위한 습관 만들기!
421,20대 친구들아 40대 아저...(1)
422,[뭐먹고살지] 너무 우울하다(1)
423," 뮤뱅 1위 오류, 트로피 반납"
424,산부인과 질문ㅜㅜㅜ제발(1)
425,유튜브 지니&보리 학폭가해자 맞아요?
426,동생이 왜 나한테 ㅈㄹ하는걸까(2)
427,가끔 댓글만 눈팅할때 느끼는게(3)
428,사랑이ㅇ 아닌 것(1)
429,얼굴에 각  없고 동글동글 하게 생...
430,  공무원들 개싸가지 없지 않냐?(171)
431,친구가 리얼돌을 샀었다네요
432, 학교 다니면서 가장 쪽팔린 ...(5)
433,얘들아 너네들 남친 어디서사겨?(10)
434,"아이돌댄서의 섹시미,,, 투피엠 우..."
435, 엄마랑 싸웠는데 내가 잘못된거야?(1)
436, 전문대나와서 전혀 다른일을 ...(2)
437,알바 많이 해보신분들!!(3)
438, 일반대로 편입 어떤것같아?(2)
439,눈썹문신 해본사람(3)
440," 중고딩친구들이라,, 끊어내지 못하는게"
441, 공주처럼 생긴 건(5)
442, 남친 인스타 댓글 답글(9)
443, 옾챗 제발 조언 부탁해(8)
444,이번달 과자만 12만원어치 먹었넼ㅋㅋ
445,식품사업장을 망하게하는 방법.
446,여성 성범죄 무고율은 0.7...(2)
447, 어디 대학을가면 놀지는않았네...(16)
448,재수중인 스무살인데 8월에 ...(2)
449, 요즘 나이많은 아저씨들 너무...(2)
450,남자들 직장 고충임(3)
451, 편의점알바포스기시재점검 잘 ...(3)
452,쇼미더머니9에서 지원자들이 보여주면...
453, 도대체 어떤게 맞는거임?알려...(1)
454,인스타로 모델 제의(5)
455,필름카메라 사려도 하는데
456, 나 똥 진짜 많이 쌈
457,20대판이 10대판보다 어그...(1)
458, 외박 뚫는 방법좀 알려주세요(3)
459, 동성 친구가 거의 없어 걱정이에요
460, 편의점 시재점검(1)
461,근데 20대 초반에 의외로 ...(2)
462, (남자들만)너희 30대 여자...(4)
463,엄마가....(2)
464, 선거때 투표하고 후회하지 않도록..
465,남자 간호사 창피한 직업임?(4)
466,네일아트 받을때 폰만지는거 어때?(2)
467, 몇개월만에 연락왔는데 뒷담만...(2)
468,제발 망상 그쳐
469,학력 위조하는 친구(3)
470, 쇼핑몰을 하는데 옷을 먹튀당했어요(6)
471,이마필러 있잖아ㅏ(1)
472,[도와주세요] 부탁드립니다 금연아파트 베란...(1)
473,남녀 느낀점
474,여긴 사람 몇명있냐
475, 경찰대 입시
476," 취업, 자존감 그리고 친구들(56)"
477,  (조언부탁) 대학생 동생이 ...(30)
478,  편의점 김밥 이래도 되는 거임?(40)
479, 가족으로부터 받은 상처는(20)
480,9급 공무원 준비하면서 외국...(10)
481, 이 시국에 물놀이 가는 거 ...(1)
482,주제파악못하는 못생긴남자들극혐(6)
483, 대학 성적 잘 아는 애들 들...(5)
484,페북 연락오는 사람 정체?(1)
485, isfp 친구들아 너희 전공뭐야?(4)
486, 나한테 열등감 가지는 친구랑...(40)
487,짝사랑(1)
488, 스무살 처음 돼서 돈 모았어...(2)
489, 사회초년생 너무 스트레스받아요(1)
490,공부 못해도 먹고살수 있나요?(32)
491,소개팅남땜에 심쿵했던 썰(7)
492,릴리바이레드
493,주변에 페미인데 결혼생각하는...(6)
494,6년동안 다녔던 회사를 억울...(1)
495,친구 수강신청 도와주는거 귀...(1)
496,  남자선배들이 나빼고 여자새내...(718)
497, 언니가 너무 짜증나요(1)
498,친할때 같이 욕한애한테 내욕...(1)
499,인스타 믿으면 안되는 이유
